child_name,parent_name
Other congenital malformations of gallbladder,Congenital malformations of gallbladder bile ducts and liver
Atresia of bile ducts,Congenital malformations of gallbladder bile ducts and liver
Congenital stenosis and stricture of bile ducts,Congenital malformations of gallbladder bile ducts and liver
Other congenital malformations of bile ducts,Congenital malformations of gallbladder bile ducts and liver
Cystic disease of liver,Congenital malformations of gallbladder bile ducts and liver
Other congenital malformations of liver,Congenital malformations of gallbladder bile ducts and liver
Agenesis aplasia and hypoplasia of pancreas,Other congenital malformations of digestive system
Annular pancreas,Other congenital malformations of digestive system
Congenital pancreatic cyst,Other congenital malformations of digestive system
Other congenital malformations of pancreas and pancreatic duct,Other congenital malformations of digestive system
Other specified congenital malformations of digestive system,Other congenital malformations of digestive system
Congenital malformation of digestive system unspecified,Other congenital malformations of digestive system
Diaphragmatic hernia,Gastrointestinal anomalies
Congenital absence of ovary,Congenital malformations of ovaries fallopian tubes and broad ligaments
Other congenital malformations of ovary,Congenital malformations of ovaries fallopian tubes and broad ligaments
Embryonic cyst of fallopian tube,Congenital malformations of ovaries fallopian tubes and broad ligaments
Other congenital malformations of fallopian tube and broad ligament,Congenital malformations of ovaries fallopian tubes and broad ligaments
Agenesis and aplasia of uterus,Congenital malformations of uterus and cervix
Doubling of uterus with doubling of cervix and vagina,Congenital malformations of uterus and cervix
Other doubling of uterus,Congenital malformations of uterus and cervix
Bicornate uterus,Congenital malformations of uterus and cervix
Unicornate uterus,Congenital malformations of uterus and cervix
Agenesis and aplasia of cervix,Congenital malformations of uterus and cervix
Embryonic cyst of cervix,Congenital malformations of uterus and cervix
Congenital fistulae between uterus and digestive and urinary tracts,Congenital malformations of uterus and cervix
Other congenital malformations of uterus and cervix,Congenital malformations of uterus and cervix
Congenital malformation of uterus and cervix unspecified,Congenital malformations of uterus and cervix
Congenital absence of vagina,Other congenital malformations of female genitalia
Doubling of vagina,Other congenital malformations of female genitalia
Congenital rectovaginal fistula,Other congenital malformations of female genitalia
Other congenital malformations of vagina,Other congenital malformations of female genitalia
Congenital malformation of clitoris,Other congenital malformations of female genitalia
Other specified congenital malformations of female genitalia,Other congenital malformations of female genitalia
Congenital malformation of female genitalia unspecified,Other congenital malformations of female genitalia
Hypospadias balanic,Hypospadias
Hypospadias penile,Hypospadias
Hypospadias penoscrotal,Hypospadias
Hypospadias perineal,Hypospadias
Other hypospadias,Hypospadias
Hypospadias unspecified,Hypospadias
Absence and aplasia of testis,Other congenital malformations of male genital organs
Hypoplasia of testis and scrotum,Other congenital malformations of male genital organs
Other congenital malformations of testis and scrotum,Other congenital malformations of male genital organs
Atresia of vas deferens,Other congenital malformations of male genital organs
Other congenital malformations of vas deferens epididymis seminal vesicles and prostate,Other congenital malformations of male genital organs
Congenital absence and aplasia of penis,Other congenital malformations of male genital organs
Other congenital malformations of penis,Other congenital malformations of male genital organs
Other specified congenital malformations of male genital organs,Other congenital malformations of male genital organs
Congenital malformation of male genital organ unspecified,Other congenital malformations of male genital organs
Hermaphroditism not elsewhere classified,Indeterminate sex
Male pseudohermaphroditism not elsewhere classified,Indeterminate sex
Female pseudohermaphroditism not elsewhere classified,Indeterminate sex
Pseudohermaphroditism unspecified,Indeterminate sex
Indeterminate sex unspecified,Indeterminate sex
Renal agenesis and other reduction defects of kidney,Congenital anomalies of kidney and urinary tract CAKUT
Unilateral renal agenesis,Congenital anomalies of kidney and urinary tract CAKUT
Renal agenesis bilateral,Bilateral renal agenesis including Potter sequence
Renal agenesis unspecified,Congenital anomalies of kidney and urinary tract CAKUT
Renal hypoplasia unilateral,Congenital anomalies of kidney and urinary tract CAKUT
Renal hypoplasia bilateral,Congenital anomalies of kidney and urinary tract CAKUT
Renal hypoplasia unspecified,Congenital anomalies of kidney and urinary tract CAKUT
Potter syndrome,Bilateral renal agenesis including Potter sequence
Polycystic kidney autosomal recessive,Cystic kidney disease
Polycystic kidney autosomal dominant,Cystic kidney disease
Polycystic kidney unspecified,Cystic kidney disease
Multicystic renal dysplasia,Renal dysplasia
Medullary cystic kidney,Cystic kidney disease
Other cystic kidney diseases,Cystic kidney disease
Cystic kidney disease unspecified,Cystic kidney disease
Congenital hydronephrosis,Congenital hydronephrosis including ureter obstruction
Atresia and stenosis of ureter,Congenital hydronephrosis including ureter obstruction
Congenital megaloureter,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Other obstructive defects of renal pelvis and ureter,Congenital hydronephrosis including ureter obstruction
Agenesis of ureter,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Duplication of ureter,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Malposition of ureter,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Other congenital malformations of ureter,Congenital obstructive defects of renal pelvis and congenital malformations of ureter
Accessory kidney,Other congenital malformations of kidney
Lobulated fused and horseshoe kidney,Lobulated fused and horseshoe kidney and ectopic kidney
Ectopic kidney,Lobulated fused and horseshoe kidney and ectopic kidney
Other specified congenital malformations of kidney,Other congenital malformations of kidney
Congenital malformation of kidney unspecified,Other congenital malformations of kidney
Epispadias,Bladder exstrophy and or epispadias
Exstrophy of urinary bladder,Bladder exstrophy and or epispadias
Posterior urethral valves,Congenital posterior urethral valves
Other atresia and stenosis of urethra and bladder neck,Other congenital malformations of urinary system
Malformation of urachus,Other congenital malformations of urinary system
Congenital absence of bladder and urethra,Other congenital malformations of urinary system
Congenital diverticulum of bladder,Other congenital malformations of urinary system
Other congenital malformations of bladder and urethra,Other congenital malformations of urinary system
Other specified congenital malformations of urinary system,Other congenital malformations of urinary system
Congenital malformation of urinary system unspecified,Other congenital malformations of urinary system
Prune belly syndrome,Congenital anomalies of kidney and urinary tract CAKUT
Hip dislocation,Limb anomalies
Club foot talipes equinovarus,Limb anomalies
Congenital deformity of hand,Other congenital musculoskeletal deformities
Congenital deformity of knee,Other congenital musculoskeletal deformities
Other specified congenital musculoskeletal deformities,Other congenital musculoskeletal deformities
Accessory fingers,Polydactyly
Accessory thumbs,Polydactyly
Accessory toes,Polydactyly
Polydactyly unspecified,Polydactyly
Fused fingers,Syndactyly
Webbed fingers,Syndactyly
Fused toes,Syndactyly
Webbed toes,Syndactyly
Polysyndactyly,Syndactyly
Syndactyly unspecified,Syndactyly
Congenital complete absence of upper limbs,Transverse LRD
Congenital absence of both forearm and hand,Transverse LRD
Congenital complete absence of lower limbs,Transverse LRD
Congenital absence of both lower leg and foot,Transverse LRD
Congenital absence of unspecified limbs,Transverse LRD
Longitudinal reduction defect of radius,Longitudinal preaxial LRD
Longitudinal reduction defect of tibia,Longitudinal preaxial LRD
Longitudinal reduction defect of ulna,Longitudinal postaxial LRD
Longitudinal reduction defect of fibula,Longitudinal postaxial LRD
Lobsterclaw hand,Longitudinal central LRD
Split foot,Longitudinal central LRD
Congenital absence of upper arm and forearm with hand present,Intercalary LRD
Congenital absence of thigh and lower leg with foot present,Intercalary LRD
Phocomelia unspecified limbs,Intercalary LRD
Congenital absence of hand and fingers,Limb reduction defects LRD
Other reduction defects of upper limbs,Limb reduction defects LRD
Reduction defect of upper limb unspecified,Limb reduction defects LRD
Congenital absence of foot and toes,Limb reduction defects LRD
Longitudinal reduction defect of femur,Limb reduction defects LRD
Other reduction defects of lower limbs,Limb reduction defects LRD
Reduction defect of lower limb unspecified,Limb reduction defects LRD
Other reduction defects of unspecified limbs,Limb reduction defects LRD
Other congenital malformations of upper limbs including shoulder girdle,Other congenital malformations of limbs
Congenital malformation of knee,Other congenital malformations of limbs
Other congenital malformations of lower limbs including pelvic girdle,Other congenital malformations of limbs
Arthrogryposis multiplex congenita,Other congenital malformations of limbs
Other specified congenital malformations of limbs,Other congenital malformations of limbs
